from,to,status,severity,type,title,source,source_url,updated_at,valid_until,note
Batakundi,Lulusar Lake,caution,high,seasonal,Batakundi to Lulusar Lake needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Batakundi, Burawai, Jalkhad, Besal, Lulusar Lake."
Lulusar Lake,Babusar Top,caution,high,seasonal,Lulusar Lake to Babusar Top needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Lulusar Lake, Gittidas/Gitidas, Babusar Top."
Babusar Top,Chilas,caution,high,seasonal,Babusar Top to Chilas needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Babusar Top, Zero Point, Chilas, N-15 descent."
Mansehra,Battal,unknown,medium,unknown,Mansehra to Battal lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Mansehra, Shinkiari, Battal."
Battal,Batgram,unknown,medium,unknown,Battal to Batgram lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Battal, Batgram/Battagram, Thakot approach."
Batgram,Besham,unknown,medium,unknown,Batgram to Besham lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Batgram/Battagram, Thakot, Besham."
Besham,Pattan,unknown,high,unknown,Besham to Pattan lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Besham, Dubair, Pattan, Indus-side KKH."
Pattan,Komila,unknown,high,unknown,Pattan to Komila lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Pattan, Komila/Komaila, Kohistan KKH."
Komila,Dassu,unknown,high,unknown,Komila to Dassu lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Komila/Komaila, Dassu/Dasu, Dasu hydropower/roadworks area."
Dassu,Barseen,unknown,high,unknown,Dassu to Barseen lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Dassu/Dasu, Barseen, Shatial, Harban, Sazin."
Barseen,Chilas,unknown,high,unknown,Barseen to Chilas lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Barseen, Shatial, Harban, Sazin, Thor, Chilas."
Chilas,Raikot Bridge,caution,medium,traffic,Raikot/Tattu Fairy Meadows side road crash reported; no KKH closure confirmed,People / GB Tourism Department / NHA Travel Advisory,https://people.com/at-least-seven-killed-tourist-jeep-plummets-into-ravine-traveling-to-vacation-hotspot-reports-11988787,2026-06-23,,"People reported on 2026-06-02 that a tourist jeep crash occurred on 2026-06-01 on Tattu Raikot Road near Chilas/Raikot; GB Tourism describes Fairy Meadows access as a 15-kilometer jeep trek from Raikot Bridge to Tattu. This maps to the Chilas -> Raikot Bridge app segment as a nearby side-road safety/traffic caution, not a confirmed KKH closure. Checked Tatta Pani/Tatapani, Gonar Farm/Gunar Farm, Thalichi/Thalichi Bridge, Fairy Meadows road junction, and Raikot Bridge aliases on 2026-06-23."
Raikot Bridge,Jaglot,unknown,medium,unknown,Raikot Bridge to Jaglot lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Raikot Bridge, Jaglot, KKH continuation."
Jaglot,Danyor,unknown,medium,unknown,Jaglot to Danyor lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Jaglot, Rahimabad, Danyor, Gilgit approach."
Danyor,Gilgit,unknown,low,unknown,Danyor to Gilgit lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Danyor, Gilgit, Jutial approach."
Gilgit,Nomal,unknown,medium,unknown,Gilgit to Nomal lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gilgit, Nomal, Naltar turnoff."
Nomal,Naltar,caution,high,seasonal,Nomal to Naltar needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Nomal, Naltar, Naltar Valley road."
Gilgit,Sher Qilla,unknown,medium,unknown,Gilgit to Sher Qilla lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gilgit, Sher Qilla, Ghizer road."
Sher Qilla,Gahkuch,unknown,medium,unknown,Sher Qilla to Gahkuch lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Sher Qilla, Gahkuch/Gahkuch, Ghizer valley."
Gahkuch,Yasin Valley,unknown,medium,unknown,Gahkuch to Yasin Valley lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gahkuch, Yasin Valley, Taus, Hundur."
Gahkuch,Gupis,unknown,medium,unknown,Gahkuch to Gupis lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gahkuch/Gahkuch, Gupis, Ghizer road."
Gupis,Phundar,unknown,medium,unknown,Gupis to Phundar lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gupis, Phundar/Phander, Khalti, Teru approach."
Phundar,Shandur Pass,caution,high,seasonal,Phundar to Shandur Pass needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/pages/news,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Phundar/Phander, Teru, Barsat, Shandur Pass. GB Tourism showed 2026 Shandur Polo Festival activity, but that is event context rather than a formal pass-condition bulletin."
Shandur Pass,Mastuj,caution,high,seasonal,Shandur Pass to Mastuj needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/pages/news,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Shandur Pass, Laspur, Mastuj. GB Tourism showed 2026 Shandur Polo Festival activity, but that is event context rather than a formal pass-condition bulletin."
Mastuj,Bunni,unknown,medium,unknown,Mastuj to Bunni lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Mastuj, Bunni/Booni, Upper Chitral."
Bunni,Chitral,unknown,medium,unknown,Bunni to Chitral lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Bunni/Booni, Kuragh, Chitral."
Gilgit,Aliabad,unknown,medium,unknown,Gilgit to Aliabad lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gilgit, Rahimabad, Minapin, Nagar, Aliabad."
Aliabad,Karimabad,unknown,low,unknown,Aliabad to Karimabad lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Aliabad, Karimabad, Hunza local connector."
Karimabad,Gulmit / Passu,unknown,medium,unknown,Karimabad to Gulmit / Passu lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Karimabad, Attabad, Attabad tunnels/lake, Gulmit, Passu."
Gulmit / Passu,Sost,unknown,medium,unknown,Gulmit / Passu to Sost lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Gulmit, Passu, Hussaini, Sost."
Sost,Khunjerab Pass,caution,high,seasonal,Sost to Khunjerab Pass needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Sost, Khunjerab National Park, Khunjerab Pass, Pakistan-China border."
Jaglot,Alam Bridge,unknown,medium,unknown,Jaglot to Alam Bridge lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Jaglot, Alam Bridge, Skardu road junction."
Alam Bridge,Rondu,caution,high,landslide,Alam Bridge to Rondu stays caution for landslide risk,NHA Travel Advisory / GB Police / Rescue 1122 GB / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory, GB Police, Rescue 1122 GB emergency/weather/landslide-alert page, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh closure notice or route-specific all-clear was found for this landslide/rockfall-prone Skardu corridor; keep caution. Small-stop aliases checked: Alam Bridge, Haramosh, Sassi, Dambudas, Rondu, Astak."
Rondu,Skardu,caution,high,landslide,Rondu to Skardu stays caution for landslide risk,NHA Travel Advisory / GB Police / Rescue 1122 GB / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory, GB Police, Rescue 1122 GB emergency/weather/landslide-alert page, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh closure notice or route-specific all-clear was found for this landslide/rockfall-prone Skardu corridor; keep caution. Small-stop aliases checked: Rondu, Astak, Skardu, Baltistan Highway."
Skardu,Shigar,unknown,low,unknown,Skardu to Shigar lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Skardu, Shigar, Shigar valley road."
Skardu,Upper Kachura,unknown,low,unknown,Skardu to Upper Kachura lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Skardu, Upper Kachura, Kachura lake road."
Raikot Bridge,Astore,unknown,medium,unknown,Raikot Bridge to Astore lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Raikot Bridge, Gorikot, Astore, Astore valley road."
Astore,Rama Lake,caution,high,seasonal,Astore to Rama Lake needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Astore, Rama, Rama Lake road."
Astore,Chillam,caution,high,seasonal,Astore to Chillam needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Astore, Gorikot, Eidgah, Chillam."
